job,method,seed,nodes,partition,scenario,topology,period,epochs,dataset,use_cycle,event_threshold,hidden,stride,protocol_id,split,policy,accuracy,precision,recall,f1,average_precision,roc_auc,fpr,bytes_total,training_wall_s,modeled_parallel_s
FD001_event_gossip_weighted_s33_n10_b60321033a11,event_gossip_weighted,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9825560266505149,0.7526881720430108,0.8433734939759037,0.7954545454545454,0.9119463704968852,0.9947636057292403,0.011611763221002146,321329584,194.2106482379986,50.101356725002475
FD001_event_gossip_weighted_s33_n10_b60321033a11,event_gossip_weighted,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9841308298001211,0.8073394495412844,0.7951807228915663,0.8012139605462822,0.9119463704968852,0.9947636057292403,0.007951533510034078,321329584,194.2106482379986,50.101356725002475
FD001_event_gossip_weighted_s33_n10_b60321033a11,event_gossip_weighted,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9836462749848577,0.7871720116618076,0.8132530120481928,0.8,0.9119463704968852,0.9947636057292403,0.009213681686229963,321329584,194.2106482379986,50.101356725002475
FD001_event_gossip_weighted_s33_n10_b60321033a11,event_gossip_weighted,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.956989247311828,0.92,0.92,0.92,0.9858800503843984,0.9947058823529412,0.029411764705882353,321329584,194.2106482379986,50.101356725002475
FD001_event_gossip_weighted_s33_n10_b60321033a11,event_gossip_weighted,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.956989247311828,0.9565217391304348,0.88,0.9166666666666666,0.9858800503843984,0.9947058823529412,0.014705882352941176,321329584,194.2106482379986,50.101356725002475
FD001_event_gossip_weighted_s33_n10_b60321033a11,event_gossip_weighted,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.956989247311828,0.92,0.92,0.92,0.9858800503843984,0.9947058823529412,0.029411764705882353,321329584,194.2106482379986,50.101356725002475
FD001_event_gossip_weighted_s44_n10_8f76fe72ffbe,event_gossip_weighted,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9798909751665658,0.7161458333333334,0.8283132530120482,0.7681564245810056,0.8713313618402093,0.9895891783719505,0.013757415120535152,322620000,201.54913802899864,56.87844179600281
FD001_event_gossip_weighted_s44_n10_8f76fe72ffbe,event_gossip_weighted,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9838885523924894,0.8395904436860068,0.7409638554216867,0.7872,0.8713313618402093,0.9895891783719505,0.005932096428120662,322620000,201.54913802899864,56.87844179600281
FD001_event_gossip_weighted_s44_n10_8f76fe72ffbe,event_gossip_weighted,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9840096910963053,0.8676470588235294,0.7108433734939759,0.7814569536423841,0.8713313618402093,0.9895891783719505,0.004543733434305188,322620000,201.54913802899864,56.87844179600281
FD001_event_gossip_weighted_s44_n10_8f76fe72ffbe,event_gossip_weighted,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.9354838709677419,0.9130434782608695,0.84,0.875,0.9727651199375338,0.9894117647058824,0.029411764705882353,322620000,201.54913802899864,56.87844179600281
